Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Essex County, Virginia",51057,"494.67 (460.46, 529.53)","448.56 (419.16, 478.06)","394.19 (369.20, 420.22)","381.96 (359.32, 404.29)","362.07 (338.54, 383.39)","305.09 (284.96, 324.57)","272.81 (254.01, 295.30)","275.33 (253.71, 299.11)","-44.34 (-49.90, -38.22)"
"Fairfax City, Virginia",51600,"416.01 (398.44, 433.91)","366.86 (351.14, 382.02)","296.52 (283.72, 308.84)","271.37 (260.29, 282.03)","233.19 (224.87, 241.52)","189.06 (182.06, 196.53)","164.02 (157.82, 170.43)","157.75 (151.39, 164.22)","-62.08 (-63.97, -60.09)"
"Fairfax County, Virginia",51059,"416.01 (398.44, 433.91)","366.86 (351.14, 382.02)","296.52 (283.72, 308.84)","271.37 (260.29, 282.03)","233.19 (224.87, 241.52)","189.06 (182.06, 196.53)","164.02 (157.82, 170.43)","157.75 (151.39, 164.22)","-62.08 (-63.97, -60.09)"
"Falls Church City, Virginia",51610,"436.03 (397.40, 475.48)","377.38 (348.64, 407.77)","312.67 (289.42, 336.48)","286.03 (264.91, 309.30)","256.56 (235.47, 277.76)","215.73 (194.83, 235.47)","180.10 (159.86, 198.23)","166.30 (147.65, 184.77)","-61.86 (-66.83, -56.44)"
"Fauquier County, Virginia",51061,"543.44 (511.41, 577.80)","491.44 (462.41, 520.42)","408.52 (386.21, 431.26)","370.27 (351.13, 389.68)","323.51 (306.98, 340.31)","273.64 (259.30, 289.02)","231.45 (218.35, 244.61)","224.72 (212.63, 237.62)","-58.65 (-61.74, -55.43)"
"Floyd County, Virginia",51063,"437.96 (407.66, 469.78)","415.48 (387.66, 443.22)","367.65 (345.23, 391.36)","349.34 (327.52, 371.89)","323.00 (301.75, 343.88)","283.90 (263.31, 303.17)","250.02 (231.56, 269.65)","253.99 (233.31, 273.65)","-42.01 (-47.69, -36.33)"
"Fluvanna County, Virginia",51065,"531.80 (492.95, 572.46)","474.18 (444.03, 507.18)","388.33 (364.40, 414.18)","351.30 (329.84, 374.38)","309.98 (291.54, 330.58)","248.04 (232.12, 265.22)","210.61 (194.72, 225.73)","211.12 (195.83, 227.60)","-60.30 (-64.01, -55.98)"
"Franklin City, Virginia",51620,"596.01 (562.93, 632.81)","549.79 (519.80, 580.77)","483.83 (460.39, 509.65)","462.63 (438.58, 488.04)","436.22 (412.53, 460.10)","373.03 (351.27, 396.75)","325.34 (305.05, 346.15)","323.97 (301.73, 347.01)","-45.64 (-50.12, -40.60)"
"Franklin County, Virginia",51067,"496.92 (470.56, 526.08)","459.67 (433.47, 486.76)","403.50 (380.20, 425.43)","376.41 (358.15, 395.70)","345.05 (326.73, 362.23)","307.94 (292.94, 323.18)","256.13 (242.63, 271.03)","259.11 (244.42, 273.63)","-47.86 (-52.00, -43.38)"
"Frederick County, Virginia",51069,"523.03 (490.99, 552.94)","471.69 (446.32, 497.50)","392.39 (371.09, 413.27)","347.26 (329.34, 365.28)","305.61 (289.60, 320.99)","253.51 (240.14, 266.94)","213.35 (201.14, 225.87)","205.21 (193.51, 217.82)","-60.77 (-63.63, -57.42)"
"Fredericksburg City, Virginia",51630,"518.84 (489.24, 550.77)","475.58 (450.29, 500.11)","394.66 (373.55, 415.01)","356.74 (338.53, 375.35)","325.55 (309.77, 341.22)","270.35 (257.29, 283.20)","231.33 (220.56, 242.42)","231.91 (220.09, 242.91)","-55.30 (-58.55, -51.88)"
"Galax City, Virginia",51640,"541.11 (491.59, 589.53)","515.46 (474.83, 559.06)","463.63 (426.61, 501.37)","447.04 (415.51, 481.37)","422.20 (388.92, 455.43)","367.26 (334.90, 396.71)","316.40 (287.09, 344.58)","322.68 (289.22, 355.02)","-40.37 (-47.84, -32.33)"
"Giles County, Virginia",51071,"533.33 (500.35, 565.33)","495.16 (468.50, 523.36)","446.17 (422.35, 471.77)","429.08 (404.52, 453.08)","398.81 (375.41, 422.28)","346.53 (325.51, 367.19)","312.64 (291.98, 334.11)","318.50 (296.08, 340.45)","-40.28 (-45.59, -34.13)"
"Gloucester County, Virginia",51073,"486.51 (454.80, 517.47)","442.24 (416.86, 468.03)","394.99 (374.25, 417.24)","368.65 (348.42, 387.87)","350.67 (332.17, 370.23)","295.30 (279.35, 312.15)","261.25 (247.70, 276.01)","259.06 (243.25, 275.24)","-46.75 (-51.43, -41.63)"
"Goochland County, Virginia",51075,"539.40 (500.98, 577.52)","478.11 (447.79, 509.31)","398.04 (371.34, 423.93)","374.30 (349.54, 401.10)","340.99 (317.77, 363.78)","272.99 (254.16, 292.27)","228.14 (211.92, 246.17)","222.80 (205.46, 241.66)","-58.70 (-62.59, -54.45)"
"Grayson County, Virginia",51077,"505.24 (474.59, 535.62)","478.49 (451.25, 505.76)","424.72 (400.58, 449.51)","402.04 (380.21, 424.55)","376.49 (357.00, 396.77)","321.47 (302.47, 340.88)","279.18 (261.67, 296.37)","271.96 (253.46, 290.04)","-46.17 (-50.56, -41.56)"
"Greene County, Virginia",51079,"527.99 (483.80, 573.78)","470.58 (435.51, 507.27)","392.90 (363.40, 420.15)","362.41 (337.89, 386.67)","319.64 (296.56, 342.46)","268.93 (249.49, 288.31)","221.57 (203.45, 239.49)","208.20 (191.29, 225.69)","-60.57 (-64.92, -55.81)"
"Greensville County, Virginia",51081,"606.40 (566.84, 646.22)","568.67 (534.08, 607.19)","500.05 (470.24, 531.12)","505.51 (477.91, 534.53)","496.57 (467.73, 525.59)","436.60 (408.15, 463.37)","393.33 (366.29, 420.98)","395.39 (365.92, 423.17)","-34.80 (-40.79, -28.29)"
"Halifax County, Virginia",51083,"525.12 (496.07, 554.03)","478.05 (454.16, 503.25)","448.97 (425.83, 471.66)","417.39 (398.38, 438.60)","383.20 (363.93, 402.80)","343.83 (326.45, 361.96)","300.06 (282.81, 317.62)","304.62 (286.20, 322.89)","-41.99 (-46.36, -37.13)"
"Hampton City, Virginia",51650,"526.36 (501.73, 550.82)","493.91 (472.10, 516.94)","434.42 (415.34, 453.86)","406.70 (389.74, 423.87)","381.89 (366.84, 398.03)","327.72 (314.21, 341.87)","294.82 (281.37, 307.83)","292.37 (278.73, 305.47)","-44.45 (-48.11, -40.81)"
"Hanover County, Virginia",51085,"539.49 (509.47, 570.10)","494.29 (468.48, 522.06)","409.29 (389.12, 430.92)","375.38 (357.05, 393.96)","336.91 (320.00, 353.93)","280.64 (267.65, 294.64)","246.86 (235.15, 259.41)","240.47 (228.22, 253.47)","-55.43 (-58.69, -52.29)"
"Harrisonburg City, Virginia",51660,"480.86 (456.14, 507.15)","444.15 (421.28, 467.35)","372.86 (356.05, 390.34)","341.07 (323.76, 357.62)","311.44 (297.09, 326.07)","258.22 (246.65, 270.77)","214.13 (203.32, 224.80)","208.71 (198.43, 219.33)","-56.60 (-59.50, -53.34)"
"Henrico County, Virginia",51087,"493.51 (469.47, 516.56)","451.15 (430.25, 472.55)","379.17 (362.95, 394.97)","347.71 (332.56, 363.97)","323.99 (310.26, 337.23)","271.24 (260.05, 282.15)","235.45 (225.37, 245.37)","230.29 (220.41, 240.12)","-53.34 (-55.78, -50.54)"
"Henry County, Virginia",51089,"468.89 (445.58, 495.99)","443.28 (421.81, 466.18)","399.25 (379.98, 418.03)","399.58 (380.93, 418.37)","376.04 (358.06, 394.13)","345.70 (329.59, 361.72)","307.58 (293.03, 322.84)","318.16 (301.84, 334.28)","-32.15 (-37.36, -27.11)"
"Highland County, Virginia",51091,"528.48 (477.55, 585.96)","483.86 (436.67, 531.79)","410.68 (372.31, 447.22)","368.40 (332.86, 403.69)","316.62 (283.75, 346.86)","268.18 (238.59, 298.96)","232.50 (204.54, 262.20)","221.22 (191.81, 251.35)","-58.14 (-63.84, -51.43)"
"Hopewell City, Virginia",51670,"550.89 (510.58, 591.87)","524.05 (489.43, 560.57)","476.09 (448.11, 504.87)","466.22 (438.80, 494.14)","446.24 (420.71, 473.50)","395.46 (372.76, 419.35)","355.51 (333.74, 377.81)","358.35 (333.86, 383.82)","-34.95 (-41.32, -28.14)"
"Isle of Wight County, Virginia",51093,"577.39 (543.50, 613.50)","506.17 (476.61, 537.07)","438.75 (413.37, 464.18)","403.95 (381.35, 428.51)","359.49 (338.74, 381.18)","306.58 (288.43, 325.21)","267.72 (250.91, 284.93)","262.41 (245.83, 280.54)","-54.55 (-58.26, -50.39)"
"James City County, Virginia",51095,"441.05 (412.38, 470.63)","382.21 (360.57, 404.17)","321.36 (303.64, 339.03)","294.87 (279.07, 312.10)","263.60 (249.54, 277.91)","214.39 (202.64, 225.34)","190.57 (180.65, 200.37)","184.67 (174.71, 195.11)","-58.13 (-61.40, -54.76)"
"King George County, Virginia",51099,"539.02 (498.75, 578.78)","488.17 (454.20, 524.07)","411.97 (387.63, 440.66)","374.84 (352.10, 398.07)","337.20 (316.58, 358.05)","273.14 (255.92, 291.82)","231.84 (216.57, 248.42)","222.62 (206.63, 239.17)","-58.70 (-62.96, -54.34)"
"King William County, Virginia",51101,"567.71 (523.37, 616.90)","522.52 (486.29, 561.67)","457.18 (426.03, 489.48)","428.72 (399.27, 459.68)","389.69 (362.21, 420.27)","326.15 (302.95, 350.69)","288.75 (264.10, 312.46)","288.51 (262.86, 314.04)","-49.18 (-54.99, -42.96)"
"King and Queen County, Virginia",51097,"617.77 (569.65, 664.51)","546.88 (507.64, 584.72)","465.62 (434.47, 498.55)","424.59 (398.38, 452.67)","380.21 (356.06, 407.64)","323.13 (301.92, 347.93)","276.67 (256.41, 299.66)","266.68 (244.67, 288.30)","-56.83 (-61.38, -51.91)"
"Lancaster County, Virginia",51103,"495.26 (460.47, 529.72)","453.70 (426.91, 481.63)","397.33 (373.52, 422.26)","368.50 (347.42, 391.07)","343.51 (324.28, 365.42)","294.75 (278.03, 313.20)","261.44 (243.89, 278.26)","255.52 (237.13, 274.44)","-48.41 (-53.11, -43.42)"
"Lee County, Virginia",51105,"566.13 (530.27, 601.04)","539.46 (511.18, 569.51)","481.61 (455.73, 507.69)","473.90 (448.71, 498.06)","447.09 (421.55, 468.95)","402.18 (380.63, 424.49)","352.85 (329.90, 374.67)","354.37 (331.80, 376.29)","-37.41 (-42.51, -31.91)"
"Lexington City, Virginia",51678,"506.67 (447.06, 566.91)","464.53 (416.53, 513.68)","395.77 (357.28, 434.54)","364.08 (329.97, 398.60)","339.46 (308.86, 369.60)","273.08 (244.46, 300.90)","233.54 (208.54, 261.32)","234.38 (207.57, 266.36)","-53.74 (-60.89, -44.63)"
"Loudoun County, Virginia",51107,"542.35 (508.92, 572.47)","470.40 (445.83, 496.27)","375.49 (355.51, 396.13)","319.74 (302.89, 337.60)","277.78 (264.02, 292.64)","219.60 (209.47, 231.16)","181.16 (172.28, 190.45)","166.98 (158.42, 175.44)","-69.21 (-71.28, -66.86)"
"Louisa County, Virginia",51109,"541.19 (504.72, 576.83)","489.12 (460.71, 518.26)","417.22 (394.19, 441.23)","386.89 (366.44, 408.76)","350.80 (331.20, 370.23)","296.46 (279.26, 314.84)","256.82 (241.60, 272.92)","247.79 (232.30, 264.09)","-54.21 (-58.59, -49.86)"
"Lunenburg County, Virginia",51111,"608.79 (564.84, 656.35)","554.86 (516.81, 591.02)","482.87 (452.66, 514.09)","454.22 (424.46, 484.38)","423.93 (397.80, 452.25)","369.69 (345.33, 396.82)","324.15 (301.24, 349.03)","317.61 (293.98, 342.79)","-47.83 (-52.82, -42.22)"
"Lynchburg City, Virginia",51680,"492.82 (467.01, 520.27)","457.02 (434.68, 479.00)","406.10 (385.93, 427.07)","395.04 (376.47, 412.06)","380.15 (362.22, 399.00)","312.31 (297.47, 326.37)","273.92 (261.32, 288.97)","283.59 (268.32, 298.71)","-42.46 (-46.36, -37.90)"
"Madison County, Virginia",51113,"465.38 (429.17, 499.73)","419.36 (389.02, 450.49)","361.09 (337.38, 385.32)","345.79 (323.26, 368.70)","321.02 (299.41, 344.81)","272.78 (252.30, 293.78)","236.36 (217.74, 254.97)","232.20 (213.39, 252.61)","-50.11 (-55.34, -43.75)"
"Manassas City, Virginia",51683,"550.52 (521.23, 579.36)","473.80 (450.64, 499.56)","392.56 (373.10, 413.29)","347.27 (330.24, 363.25)","323.94 (309.35, 338.55)","253.28 (241.73, 265.09)","210.93 (201.48, 220.48)","194.59 (185.70, 203.25)","-64.65 (-66.91, -62.34)"
"Manassas Park City, Virginia",51685,"550.52 (521.23, 579.36)","473.80 (450.64, 499.56)","392.56 (373.10, 413.29)","347.27 (330.24, 363.25)","323.94 (309.35, 338.55)","253.28 (241.73, 265.09)","210.93 (201.48, 220.48)","194.59 (185.70, 203.25)","-64.65 (-66.91, -62.34)"
"Martinsville City, Virginia",51690,"546.09 (507.08, 589.98)","517.65 (483.18, 555.74)","477.39 (446.06, 509.09)","484.51 (455.63, 512.80)","471.87 (443.01, 502.15)","425.00 (396.58, 452.59)","400.08 (374.27, 427.99)","398.74 (366.80, 430.53)","-26.98 (-35.59, -18.34)"
"Mathews County, Virginia",51115,"463.29 (428.84, 499.41)","438.96 (409.75, 469.28)","394.67 (369.03, 421.67)","378.86 (353.85, 403.19)","352.18 (328.74, 374.55)","307.49 (286.38, 328.40)","269.15 (249.32, 288.21)","266.76 (246.85, 288.38)","-42.42 (-48.31, -35.73)"
"Mecklenburg County, Virginia",51117,"609.39 (577.10, 643.53)","574.86 (546.41, 604.30)","504.72 (481.30, 529.22)","484.12 (460.63, 510.07)","435.68 (415.29, 457.96)","395.11 (377.33, 414.98)","338.42 (321.41, 356.97)","333.18 (314.56, 351.51)","-45.33 (-49.27, -40.99)"
"Middlesex County, Virginia",51119,"485.16 (452.92, 521.74)","434.39 (407.18, 461.63)","376.23 (354.15, 398.40)","359.25 (336.79, 381.87)","331.73 (310.89, 351.77)","278.25 (261.18, 295.10)","245.29 (228.03, 262.25)","246.12 (227.34, 265.37)","-49.27 (-54.00, -43.75)"
"Montgomery County, Virginia",51121,"500.65 (473.99, 528.07)","478.77 (454.10, 504.45)","422.74 (401.95, 443.54)","395.84 (377.39, 414.25)","356.58 (340.37, 373.71)","302.01 (288.49, 317.40)","261.57 (248.55, 275.29)","253.69 (240.05, 267.41)","-49.33 (-53.00, -44.99)"
"Nelson County, Virginia",51125,"604.85 (563.00, 647.77)","546.90 (512.20, 583.89)","456.85 (428.68, 485.36)","424.17 (400.71, 451.65)","375.94 (353.03, 400.59)","313.19 (293.95, 333.90)","272.93 (255.18, 292.69)","263.22 (242.83, 283.36)","-56.48 (-60.88, -51.60)"
"New Kent County, Virginia",51127,"571.71 (528.33, 619.19)","508.89 (470.21, 547.97)","432.84 (402.93, 462.56)","391.89 (364.90, 418.94)","352.14 (327.88, 378.35)","289.21 (268.80, 309.14)","254.74 (236.59, 274.79)","245.84 (226.79, 266.59)","-57.00 (-61.02, -52.18)"
"Newport News City, Virginia",51700,"571.32 (546.46, 595.56)","483.79 (462.00, 504.43)","432.00 (413.92, 449.12)","398.98 (382.21, 415.86)","366.80 (352.70, 381.45)","302.45 (290.34, 315.64)","258.93 (248.11, 270.95)","247.00 (236.25, 258.05)","-56.77 (-59.24, -54.29)"
"Norfolk City, Virginia",51710,"603.61 (582.41, 626.89)","545.97 (525.52, 567.10)","488.67 (471.70, 505.14)","474.94 (458.14, 492.06)","414.35 (399.71, 430.09)","359.39 (344.80, 373.40)","318.95 (305.98, 332.51)","312.85 (299.37, 325.79)","-48.17 (-51.09, -45.24)"
"Northampton County, Virginia",51131,"541.60 (507.73, 576.37)","507.47 (479.71, 535.09)","436.99 (411.77, 463.24)","412.34 (389.91, 437.81)","381.78 (359.70, 403.86)","312.96 (293.90, 333.63)","268.57 (251.68, 286.57)","272.90 (253.28, 292.17)","-49.61 (-54.16, -44.93)"
"Northumberland County, Virginia",51133,"525.91 (488.52, 560.97)","475.01 (444.49, 505.44)","403.27 (377.79, 428.47)","362.73 (340.82, 384.20)","326.47 (306.44, 345.59)","268.33 (250.48, 286.52)","230.53 (214.32, 246.19)","228.30 (212.41, 244.99)","-56.59 (-60.71, -52.10)"
"Norton City, Virginia",51720,"606.92 (534.50, 675.32)","539.75 (486.81, 593.45)","450.02 (406.80, 492.96)","425.85 (384.32, 465.57)","403.89 (362.08, 445.89)","353.49 (313.38, 396.99)","293.18 (255.71, 330.78)","288.61 (246.93, 330.66)","-52.45 (-59.93, -43.83)"
"Nottoway County, Virginia",51135,"526.95 (489.61, 561.19)","508.65 (476.54, 540.06)","466.09 (439.05, 493.37)","446.15 (420.08, 471.88)","422.98 (398.02, 448.55)","385.47 (362.25, 409.97)","346.90 (324.30, 369.79)","348.58 (324.09, 372.91)","-33.85 (-40.03, -26.94)"
"Orange County, Virginia",51137,"515.83 (482.49, 549.10)","458.48 (431.73, 485.07)","385.47 (365.15, 408.16)","353.04 (332.42, 372.53)","325.84 (307.86, 343.36)","274.25 (258.40, 290.38)","227.20 (213.61, 241.40)","224.88 (210.27, 239.83)","-56.40 (-60.16, -52.28)"
"Page County, Virginia",51139,"563.03 (528.36, 602.51)","520.81 (491.68, 551.49)","455.11 (430.19, 481.53)","432.63 (409.69, 457.87)","398.43 (376.40, 422.23)","350.32 (330.04, 370.92)","310.67 (291.79, 331.46)","308.09 (287.27, 329.28)","-45.28 (-49.94, -40.27)"
"Patrick County, Virginia",51141,"418.69 (392.33, 447.01)","406.01 (382.16, 431.17)","380.43 (357.86, 403.70)","374.87 (353.11, 398.51)","353.32 (332.68, 376.59)","337.51 (315.29, 359.92)","309.08 (287.06, 331.31)","309.93 (286.36, 333.29)","-25.98 (-33.23, -18.34)"
"Petersburg City, Virginia",51730,"581.78 (550.78, 616.37)","563.06 (532.99, 594.52)","528.94 (501.71, 556.64)","521.04 (495.75, 547.59)","491.41 (467.89, 517.11)","439.88 (416.97, 463.38)","390.98 (369.52, 413.01)","394.86 (370.93, 419.42)","-32.13 (-37.47, -25.92)"
"Pittsylvania County, Virginia",51143,"543.27 (517.67, 568.36)","508.73 (484.66, 533.10)","469.12 (449.77, 490.74)","446.95 (429.09, 465.07)","405.63 (389.31, 422.58)","373.19 (357.83, 388.07)","311.73 (298.33, 325.36)","321.71 (307.34, 336.60)","-40.78 (-44.45, -36.98)"
"Poquoson City, Virginia",51735,"444.91 (406.03, 488.14)","426.80 (392.61, 464.41)","381.25 (352.87, 410.87)","358.73 (332.64, 387.36)","343.14 (316.25, 369.50)","297.93 (271.91, 324.20)","255.80 (232.13, 278.00)","249.45 (224.59, 274.28)","-43.93 (-50.72, -35.82)"
"Portsmouth City, Virginia",51740,"567.80 (542.98, 597.01)","529.51 (506.08, 552.84)","471.60 (452.77, 491.54)","444.95 (426.07, 463.45)","412.77 (395.89, 429.45)","359.68 (344.07, 376.60)","323.35 (308.44, 338.93)","320.52 (305.60, 336.43)","-43.55 (-47.35, -39.78)"
"Powhatan County, Virginia",51145,"547.64 (502.33, 593.44)","496.06 (459.94, 530.54)","422.33 (392.38, 454.55)","374.09 (346.79, 400.48)","325.63 (302.17, 347.55)","275.37 (254.55, 295.22)","228.53 (211.45, 246.21)","223.42 (206.15, 241.61)","-59.20 (-63.45, -54.77)"
"Prince Edward County, Virginia",51147,"518.14 (485.41, 553.22)","481.78 (453.15, 510.80)","426.92 (402.58, 453.80)","410.70 (387.22, 434.97)","382.23 (360.23, 405.26)","333.39 (312.70, 353.93)","294.90 (275.41, 314.78)","294.92 (274.13, 316.24)","-43.08 (-48.25, -37.72)"
"Prince George County, Virginia",51149,"488.47 (454.44, 524.24)","443.45 (415.11, 473.33)","381.41 (358.17, 406.01)","354.42 (332.79, 376.18)","314.53 (295.22, 334.84)","272.13 (253.49, 290.73)","229.78 (214.06, 246.22)","223.25 (207.03, 240.26)","-54.30 (-58.46, -49.69)"
"Prince William County, Virginia",51153,"550.52 (521.23, 579.36)","473.80 (450.64, 499.56)","392.56 (373.10, 413.29)","347.27 (330.24, 363.25)","323.94 (309.35, 338.55)","253.28 (241.73, 265.09)","210.93 (201.48, 220.48)","194.59 (185.70, 203.25)","-64.65 (-66.91, -62.34)"
"Pulaski County, Virginia",51155,"442.57 (416.29, 470.71)","403.79 (381.97, 424.48)","396.36 (376.00, 417.73)","400.11 (380.45, 420.49)","383.82 (365.46, 403.39)","355.42 (336.45, 374.35)","328.39 (310.01, 348.05)","328.79 (309.93, 349.06)","-25.71 (-31.21, -19.35)"
"Radford City, Virginia",51750,"571.47 (522.19, 621.71)","527.06 (486.02, 569.91)","459.14 (425.47, 494.67)","439.20 (407.49, 473.01)","407.37 (376.59, 439.26)","344.90 (314.12, 373.20)","299.34 (269.63, 326.18)","314.53 (282.02, 346.31)","-44.96 (-51.69, -37.49)"
"Rappahannock County, Virginia",51157,"562.75 (511.71, 611.48)","504.11 (465.23, 545.24)","424.65 (391.83, 457.78)","389.38 (357.35, 420.99)","356.20 (326.69, 386.36)","281.63 (256.37, 307.29)","246.36 (222.40, 271.73)","244.28 (218.69, 271.46)","-56.59 (-61.28, -50.43)"
"Richmond City, Virginia",51760,"552.75 (530.91, 574.61)","507.84 (490.00, 526.17)","452.98 (436.86, 470.61)","445.25 (428.19, 461.46)","435.13 (419.86, 450.03)","368.20 (353.96, 383.19)","317.12 (304.20, 329.74)","308.62 (295.58, 322.11)","-44.17 (-46.95, -40.97)"
"Richmond County, Virginia",51159,"530.19 (488.07, 572.77)","492.39 (458.94, 528.36)","432.33 (403.03, 460.72)","414.70 (387.87, 441.38)","386.34 (359.66, 413.15)","335.07 (312.06, 359.95)","288.53 (265.47, 312.26)","288.47 (262.96, 314.08)","-45.59 (-51.43, -39.21)"
"Roanoke City, Virginia",51770,"510.71 (487.66, 534.31)","494.81 (472.28, 516.95)","460.84 (441.37, 481.87)","436.90 (417.75, 455.61)","398.79 (382.40, 415.04)","374.38 (357.15, 391.86)","352.26 (337.52, 368.28)","340.41 (323.67, 356.59)","-33.35 (-37.72, -28.79)"
"Roanoke County, Virginia",51161,"469.33 (445.17, 495.98)","438.00 (415.62, 461.92)","365.79 (348.12, 383.20)","358.32 (340.95, 376.32)","331.86 (316.32, 346.08)","282.65 (268.90, 296.25)","237.92 (226.93, 249.66)","239.12 (227.03, 251.25)","-49.05 (-52.55, -45.36)"
"Rockbridge County, Virginia",51163,"596.32 (559.48, 634.81)","525.95 (496.96, 556.71)","437.61 (412.46, 462.88)","393.70 (372.04, 415.61)","347.92 (327.53, 367.27)","279.63 (263.44, 296.06)","235.37 (221.13, 249.63)","219.95 (205.97, 233.68)","-63.12 (-66.14, -60.02)"
"Rockingham County, Virginia",51165,"480.86 (456.14, 507.15)","444.15 (421.28, 467.35)","372.86 (356.05, 390.34)","341.07 (323.76, 357.62)","311.44 (297.09, 326.07)","258.22 (246.65, 270.77)","214.13 (203.32, 224.80)","208.71 (198.43, 219.33)","-56.60 (-59.50, -53.34)"
"Russell County, Virginia",51167,"538.80 (506.81, 569.51)","505.41 (480.08, 532.83)","467.62 (444.25, 491.71)","454.07 (430.22, 476.73)","422.93 (401.76, 445.00)","368.53 (348.81, 390.14)","332.51 (314.36, 352.98)","327.97 (308.29, 348.68)","-39.13 (-44.00, -33.72)"
"Salem City, Virginia",51775,"600.83 (561.31, 641.56)","585.70 (550.12, 624.37)","484.64 (457.51, 513.10)","442.33 (416.05, 469.14)","398.78 (376.11, 422.91)","331.17 (313.23, 350.83)","288.59 (269.40, 307.65)","273.91 (254.68, 293.71)","-54.41 (-59.12, -49.44)"
"Scott County, Virginia",51169,"510.78 (480.74, 543.55)","490.58 (463.58, 519.93)","444.05 (418.79, 467.50)","434.06 (411.03, 458.13)","407.79 (386.20, 431.30)","352.81 (331.91, 375.40)","310.92 (291.90, 329.99)","314.03 (293.78, 334.98)","-38.52 (-43.22, -32.75)"
"Shenandoah County, Virginia",51171,"551.58 (519.74, 583.90)","493.48 (468.60, 519.82)","416.70 (396.00, 438.66)","383.83 (365.51, 402.74)","339.45 (322.67, 356.31)","287.08 (272.08, 303.08)","240.94 (228.14, 254.76)","238.62 (224.04, 252.70)","-56.74 (-60.19, -53.01)"
"Smyth County, Virginia",51173,"575.66 (543.47, 608.37)","551.81 (523.99, 580.88)","487.17 (460.95, 511.65)","471.50 (448.18, 493.83)","428.80 (408.83, 450.50)","390.17 (369.37, 409.69)","338.27 (320.59, 357.50)","334.41 (316.32, 352.31)","-41.91 (-46.41, -37.11)"
"Southampton County, Virginia",51175,"596.01 (562.93, 632.81)","549.79 (519.80, 580.77)","483.83 (460.39, 509.65)","462.63 (438.58, 488.04)","436.22 (412.53, 460.10)","373.03 (351.27, 396.75)","325.34 (305.05, 346.15)","323.97 (301.73, 347.01)","-45.64 (-50.12, -40.60)"
"Spotsylvania County, Virginia",51177,"518.84 (489.24, 550.77)","475.58 (450.29, 500.11)","394.66 (373.55, 415.01)","356.74 (338.53, 375.35)","325.55 (309.77, 341.22)","270.35 (257.29, 283.20)","231.33 (220.56, 242.42)","231.91 (220.09, 242.91)","-55.30 (-58.55, -51.88)"
"Stafford County, Virginia",51179,"507.65 (474.90, 542.09)","447.76 (420.38, 475.95)","372.24 (349.70, 396.01)","335.71 (316.95, 355.30)","306.08 (289.16, 323.79)","264.51 (250.62, 279.80)","221.97 (210.29, 235.24)","210.47 (198.38, 223.75)","-58.54 (-61.80, -55.06)"
"Staunton City, Virginia",51790,"531.03 (505.96, 557.16)","484.03 (461.09, 508.42)","408.59 (388.73, 428.77)","370.83 (354.04, 388.95)","344.53 (329.69, 359.54)","289.71 (276.16, 303.74)","240.84 (230.27, 252.78)","245.50 (233.95, 257.33)","-53.77 (-56.77, -50.79)"
"Suffolk City, Virginia",51800,"660.16 (623.88, 696.87)","578.88 (549.65, 607.99)","487.40 (465.84, 511.30)","454.93 (433.05, 475.10)","401.70 (382.89, 420.20)","337.14 (321.47, 352.95)","295.35 (281.53, 309.31)","281.44 (267.37, 294.67)","-57.37 (-60.43, -54.16)"
"Surry County, Virginia",51181,"582.91 (537.47, 629.89)","516.77 (481.02, 554.03)","426.68 (396.79, 455.97)","395.36 (367.57, 423.33)","355.27 (330.38, 381.37)","301.93 (279.20, 326.33)","260.54 (238.60, 282.06)","260.43 (237.13, 283.48)","-55.32 (-59.66, -49.87)"
"Sussex County, Virginia",51183,"639.04 (593.72, 683.52)","574.24 (537.46, 611.60)","500.27 (470.00, 530.32)","484.77 (452.77, 517.15)","454.62 (426.09, 484.66)","393.57 (366.43, 420.32)","336.94 (312.03, 362.77)","343.31 (317.69, 372.69)","-46.28 (-51.55, -40.05)"
"Tazewell County, Virginia",51185,"559.14 (532.11, 588.45)","529.06 (502.76, 555.87)","479.35 (455.43, 502.76)","470.42 (449.28, 492.96)","438.02 (418.50, 457.16)","395.15 (376.54, 414.98)","366.02 (348.00, 384.43)","352.59 (334.54, 371.53)","-36.94 (-41.33, -32.30)"
"Virginia Beach City, Virginia",51810,"492.30 (469.46, 514.49)","443.13 (423.66, 463.20)","382.65 (366.80, 399.46)","351.18 (337.39, 365.41)","314.90 (302.41, 327.12)","255.27 (245.60, 265.10)","221.49 (212.66, 231.21)","212.98 (204.58, 222.22)","-56.74 (-59.11, -54.04)"
"Warren County, Virginia",51187,"543.47 (511.00, 578.44)","504.90 (474.60, 536.04)","440.57 (414.75, 467.12)","398.99 (376.54, 423.94)","363.30 (342.50, 385.12)","314.21 (297.45, 333.44)","272.83 (256.32, 291.12)","267.78 (249.68, 285.41)","-50.73 (-54.66, -46.28)"
